1, none, minecraft:the_void, MONSTER, iter_rpg:air_elemental, 12, 1, 2
118, plains, minecraft:plains, WATER_AMBIENT, aquaculture:carp, 10, 1, 3
119, plains, minecraft:plains, WATER_AMBIENT, aquaculture:muskellunge, 10, 1, 1
120, plains, minecraft:plains, WATER_AMBIENT, aquaculture:gar, 10, 1, 2
121, plains, minecraft:plains, WATER_AMBIENT, aquaculture:tuna, 10, 1, 1
122, plains, minecraft:plains, WATER_AMBIENT, aquaculture:bluegill, 20, 1, 6
123, plains, minecraft:plains, WATER_AMBIENT, aquaculture:minnow, 18, 1, 5
124, plains, minecraft:plains, WATER_AMBIENT, aquaculture:catfish, 10, 1, 1
125, plains, minecraft:plains, WATER_AMBIENT, aquaculture:jellyfish, 10, 1, 3
126, plains, minecraft:plains, WATER_AMBIENT, aquaculture:smallmouth_bass, 10, 1, 3
127, plains, minecraft:plains, WATER_AMBIENT, alexsmobs:devils_hole_pupfish, 23, 5, 12
128, plains, minecraft:plains, WATER_AMBIENT, aquaculture:perch, 20, 1, 6
129, plains, minecraft:plains, WATER_AMBIENT, aquaculture:red_grouper, 10, 1, 2
130, plains, minecraft:plains, WATER_AMBIENT, aquaculture:brown_trout, 10, 1, 3
131, none, minecraft:sunflower_plains, MONSTER, minecraft:spider, 80, 4, 4
132, none, minecraft:sunflower_plains, MONSTER, minecraft:zombie, 80, 4, 4
133, none, minecraft:sunflower_plains, MONSTER, minecraft:zombie_villager, 10, 1, 1
134, none, minecraft:sunflower_plains, MONSTER, minecraft:skeleton, 80, 4, 4
135, none, minecraft:sunflower_plains, MONSTER, minecraft:creeper, 80, 4, 4
136, none, minecraft:sunflower_plains, MONSTER, minecraft:slime, 80, 4, 4
137, none, minecraft:sunflower_plains, MONSTER, minecraft:enderman, 5, 1, 4
138, none, minecraft:sunflower_plains, MONSTER, minecraft:witch, 5, 1, 1
139, none, minecraft:sunflower_plains, MONSTER, mutantmonsters:mutant_creeper, 10, 1, 1
140, none, minecraft:sunflower_plains, MONSTER, mutantmonsters:mutant_enderman, 10, 1, 1
141, none, minecraft:sunflower_plains, MONSTER, mutantmonsters:mutant_skeleton, 10, 1, 1
142, none, minecraft:sunflower_plains, MONSTER, mutantmonsters:mutant_zombie, 10, 1, 1
143, none, minecraft:sunflower_plains, MONSTER, rottencreatures:undead_miner, 20, 1, 4
144, none, minecraft:sunflower_plains, MONSTER, iter_rpg:air_elemental, 12, 1, 2
145, none, minecraft:sunflower_plains, MONSTER, born_in_chaos_v1:door_knight, 13, 1, 1
146, none, minecraft:sunflower_plains, MONSTER, born_in_chaos_v1:supreme_bonescaller, 10, 1, 1
147, none, minecraft:sunflower_plains, MONSTER, born_in_chaos_v1:seared_spirit, 10, 1, 1
148, none, minecraft:sunflower_plains, MONSTER, graveyard:nightmare, 10, 1, 1
149, none, minecraft:sunflower_plains, MONSTER, iter_rpg:scallop, 32, 1, 6
150, none, minecraft:sunflower_plains, MONSTER, quark:stoneling, 80, 1, 1
151, none, minecraft:sunflower_plains, MONSTER, quark:toretoise, 80, 2, 4
152, none, minecraft:sunflower_plains, MONSTER, iter_rpg:giant_spider, 10, 1, 1
153, none, minecraft:sunflower_plains, MONSTER, born_in_chaos_v1:skeleton_thrasher, 10, 1, 1
154, none, minecraft:sunflower_plains, MONSTER, born_in_chaos_v1:barrel_zombie, 16, 1, 1
155, none, minecraft:sunflower_plains, MONSTER, born_in_chaos_v1:bonescaller, 10, 1, 1
156, none, minecraft:sunflower_plains, MONSTER, minecraft:illusioner, 10, 1, 1
157, none, minecraft:sunflower_plains, MONSTER, majruszsdifficulty:tank, 10, 1, 1
158, none, minecraft:sunflower_plains, MONSTER, born_in_chaos_v1:spirit_guide_assistant, 10, 2, 2
159, none, minecraft:sunflower_plains, MONSTER, iter_rpg:spiderling, 10, 3, 5
160, none, minecraft:sunflower_plains, MONSTER, born_in_chaos_v1:dark_vortex, 11, 1, 1
161, none, minecraft:sunflower_plains, MONSTER, born_in_chaos_v1:nightmare_stalker, 10, 1, 1
162, none, minecraft:sunflower_plains, MONSTER, born_in_chaos_v1:dread_hound, 15, 3, 5
163, none, minecraft:sunflower_plains, MONSTER, born_in_chaos_v1:spirit_guide, 12, 1, 1
164, none, minecraft:sunflower_plains, MONSTER, born_in_chaos_v1:restless_spirit, 15, 1, 1
165, none, minecraft:sunflower_plains, MONSTER, born_in_chaos_v1:wither_scuttler, 15, 1, 1
166, none, minecraft:sunflower_plains, MONSTER, born_in_chaos_v1:baby_skeleton_2, 15, 1, 2
167, none, minecraft:sunflower_plains, MONSTER, enlightened_end:void_leviathan, 10, 1, 1
168, none, minecraft:sunflower_plains, MONSTER, born_in_chaos_v1:dire_hound_leader, 10, 1, 1
169, none, minecraft:sunflower_plains, MONSTER, born_in_chaos_v1:shy_spirit, 11, 1, 1
170, none, minecraft:sunflower_plains, MONSTER, born_in_chaos_v1:fallen_chaos_knight, 10, 1, 1
171, none, minecraft:sunflower_plains, MONSTER, born_in_chaos_v1:zombie_clown, 10, 1, 1
172, none, minecraft:sunflower_plains, MONSTER, alexsmobs:centipede_head, 10, 1, 1
173, none, minecraft:sunflower_plains, MONSTER, alexsmobs:farseer, 30, 1, 1
174, none, minecraft:sunflower_plains, MONSTER, alexsmobs:murmur, 10, 1, 1
175, none, minecraft:sunflower_plains, MONSTER, dungeons_mobs:necromancer, 10, 1, 1
176, none, minecraft:sunflower_plains, MONSTER, epicsamurai:enenra, 10, 1, 2
177, none, minecraft:sunflower_plains, MONSTER, born_in_chaos_v1:phantom_creeper, 10, 1, 1
178, none, minecraft:sunflower_plains, MONSTER, iter_rpg:bloated, 10, 1, 1
179, none, minecraft:sunflower_plains, MONSTER, iter_rpg:void_elemental, 10, 1, 1
180, none, minecraft:sunflower_plains, MONSTER, born_in_chaos_v1:decaying_zombie, 26, 1, 1
181, none, minecraft:sunflower_plains, MONSTER, iter_rpg:water_elemental, 16, 1, 2
182, none, minecraft:sunflower_plains, MONSTER, born_in_chaos_v1:decrepit_skeleton, 40, 1, 1
183, none, minecraft:sunflower_plains, MONSTER, born_in_chaos_v1:sir_pumpkinhead, 10, 1, 1
184, none, minecraft:sunflower_plains, MONSTER, born_in_chaos_v1:skeleton_demoman, 10, 1, 1
185, none, minecraft:sunflower_plains, MONSTER, born_in_chaos_v1:baby_skeleton, 15, 1, 2
186, none, minecraft:sunflower_plains, MONSTER, born_in_chaos_v1:mr_pumpkin, 13, 1, 3
187, none, minecraft:sunflower_plains, MONSTER, minecraft:pig, 40, 1, 1
188, none, minecraft:sunflower_plains, CREATURE, minecraft:sheep, 40, 8, 8
189, none, minecraft:sunflower_plains, CREATURE, minecraft:cow, 40, 8, 8
190, none, minecraft:sunflower_plains, CREATURE, minecraft:horse, 10, 2, 6
191, none, minecraft:sunflower_plains, CREATURE, minecraft:donkey, 10, 1, 3
192, none, minecraft:sunflower_plains, CREATURE, naturalist:snail, 10, 2, 3
193, none, minecraft:sunflower_plains, CREATURE, naturalist:snake, 10, 1, 1
194, none, minecraft:sunflower_plains, CREATURE, naturalist:robin, 10, 1, 4
195, none, minecraft:sunflower_plains, CREATURE, naturalist:butterfly, 10, 1, 3
196, none, minecraft:sunflower_plains, CREATURE, friendsandfoes:moobloom, 10, 2, 4
197, none, minecraft:sunflower_plains, CREATURE, crittersandcompanions:ferret, 10, 2, 3
198, none, minecraft:sunflower_plains, CREATURE, alexsmobs:hummingbird, 19, 7, 7
199, none, minecraft:sunflower_plains, CREATURE, alexsmobs:raccoon, 10, 2, 4
200, none, minecraft:sunflower_plains, CREATURE, alexsmobs:crow, 10, 3, 5
201, none, minecraft:sunflower_plains, CREATURE, alexsmobs:bison, 10, 6, 10
202, none, minecraft:sunflower_plains, CREATURE, minecraft:sheep, 40, 4, 8
203, none, minecraft:sunflower_plains, CREATURE, minecraft:cow, 40, 4, 8
204, none, minecraft:sunflower_plains, CREATURE, minecraft:pig, 40, 4, 8
205, none, minecraft:sunflower_plains, CREATURE, minecraft:chicken, 40, 4, 8
206, none, minecraft:sunflower_plains, AMBIENT, minecraft:bat, 10, 8, 8
207, none, minecraft:sunflower_plains, AMBIENT, naturalist:firefly, 10, 2, 3
208, none, minecraft:sunflower_plains, AMBIENT, alexsmobs:fly, 10, 2, 3
209, none, minecraft:sunflower_plains, AMBIENT, alexsmobs:cockroach, 10, 5, 5
210, none, minecraft:sunflower_plains, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
211, none, minecraft:sunflower_plains, WATER_AMBIENT, aquaculture:carp, 10, 1, 3
212, none, minecraft:sunflower_plains, WATER_AMBIENT, aquaculture:muskellunge, 10, 1, 1
213, none, minecraft:sunflower_plains, WATER_AMBIENT, aquaculture:gar, 10, 1, 2
214, none, minecraft:sunflower_plains, WATER_AMBIENT, aquaculture:tuna, 10, 1, 1
215, none, minecraft:sunflower_plains, WATER_AMBIENT, aquaculture:bluegill, 20, 1, 6
216, none, minecraft:sunflower_plains, WATER_AMBIENT, aquaculture:minnow, 18, 1, 5
217, none, minecraft:sunflower_plains, WATER_AMBIENT, aquaculture:catfish, 10, 1, 1
218, none, minecraft:sunflower_plains, WATER_AMBIENT, aquaculture:jellyfish, 10, 1, 3
219, none, minecraft:sunflower_plains, WATER_AMBIENT, aquaculture:smallmouth_bass, 10, 1, 3
220, none, minecraft:sunflower_plains, WATER_AMBIENT, alexsmobs:devils_hole_pupfish, 23, 5, 12
221, none, minecraft:sunflower_plains, WATER_AMBIENT, aquaculture:perch, 20, 1, 6
222, none, minecraft:sunflower_plains, WATER_AMBIENT, aquaculture:red_grouper, 10, 1, 2
223, none, minecraft:sunflower_plains, WATER_AMBIENT, aquaculture:brown_trout, 10, 1, 3
224, icy, minecraft:snowy_plains, MONSTER, minecraft:spider, 80, 4, 4
225, icy, minecraft:snowy_plains, MONSTER, minecraft:zombie, 80, 4, 4
226, icy, minecraft:snowy_plains, MONSTER, minecraft:zombie_villager, 10, 1, 1
227, icy, minecraft:snowy_plains, MONSTER, minecraft:skeleton, 20, 4, 4
228, icy, minecraft:snowy_plains, MONSTER, minecraft:slime, 80, 4, 4
229, icy, minecraft:snowy_plains, MONSTER, minecraft:enderman, 5, 1, 4
230, icy, minecraft:snowy_plains, MONSTER, minecraft:witch, 5, 1, 1
231, icy, minecraft:snowy_plains, MONSTER, minecraft:stray, 80, 4, 4
232, icy, minecraft:snowy_plains, MONSTER, mutantmonsters:mutant_creeper, 10, 1, 1
233, icy, minecraft:snowy_plains, MONSTER, mutantmonsters:mutant_enderman, 10, 1, 1
234, icy, minecraft:snowy_plains, MONSTER, mutantmonsters:mutant_skeleton, 10, 1, 1
235, icy, minecraft:snowy_plains, MONSTER, mutantmonsters:mutant_zombie, 10, 1, 1
236, icy, minecraft:snowy_plains, MONSTER, rottencreatures:frostbitten, 80, 4, 4
237, icy, minecraft:snowy_plains, MONSTER, rottencreatures:glacial_hunter, 20, 1, 3
238, icy, minecraft:snowy_plains, MONSTER, rottencreatures:undead_miner, 20, 1, 4
239, icy, minecraft:snowy_plains, MONSTER, iter_rpg:air_elemental, 12, 1, 2
240, icy, minecraft:snowy_plains, MONSTER, dungeons_mobs:frozen_zombie, 80, 1, 1
241, icy, minecraft:snowy_plains, MONSTER, born_in_chaos_v1:door_knight, 13, 1, 1
242, icy, minecraft:snowy_plains, MONSTER, born_in_chaos_v1:supreme_bonescaller, 10, 1, 1
243, icy, minecraft:snowy_plains, MONSTER, born_in_chaos_v1:seared_spirit, 10, 1, 1
244, icy, minecraft:snowy_plains, MONSTER, graveyard:nightmare, 10, 1, 1
245, icy, minecraft:snowy_plains, MONSTER, iter_rpg:scallop, 32, 1, 6
246, icy, minecraft:snowy_plains, MONSTER, quark:stoneling, 80, 1, 1
247, icy, minecraft:snowy_plains, MONSTER, quark:toretoise, 80, 2, 4
248, icy, minecraft:snowy_plains, MONSTER, iter_rpg:giant_spider, 10, 1, 1
249, icy, minecraft:snowy_plains, MONSTER, born_in_chaos_v1:skeleton_thrasher, 10, 1, 1
250, icy, minecraft:snowy_plains, MONSTER, dungeons_mobs:icy_creeper, 80, 1, 1
251, icy, minecraft:snowy_plains, MONSTER, born_in_chaos_v1:barrel_zombie, 16, 1, 1
252, icy, minecraft:snowy_plains, MONSTER, born_in_chaos_v1:bonescaller, 10, 1, 1
253, icy, minecraft:snowy_plains, MONSTER, minecraft:illusioner, 10, 1, 1
254, icy, minecraft:snowy_plains, MONSTER, majruszsdifficulty:tank, 10, 1, 1
255, icy, minecraft:snowy_plains, MONSTER, born_in_chaos_v1:spirit_guide_assistant, 10, 2, 2
256, icy, minecraft:snowy_plains, MONSTER, iter_rpg:spiderling, 10, 3, 5
257, icy, minecraft:snowy_plains, MONSTER, creeperoverhaul:cave_creeper, 75, 2, 2
258, icy, minecraft:snowy_plains, MONSTER, born_in_chaos_v1:dark_vortex, 11, 1, 1
259, icy, minecraft:snowy_plains, MONSTER, born_in_chaos_v1:nightmare_stalker, 10, 1, 1
260, icy, minecraft:snowy_plains, MONSTER, born_in_chaos_v1:dread_hound, 15, 3, 5
261, icy, minecraft:snowy_plains, MONSTER, graveyard:revenant, 25, 5, 8
262, icy, minecraft:snowy_plains, MONSTER, born_in_chaos_v1:spirit_guide, 12, 1, 1
263, icy, minecraft:snowy_plains, MONSTER, born_in_chaos_v1:restless_spirit, 15, 1, 1
264, icy, minecraft:snowy_plains, MONSTER, born_in_chaos_v1:wither_scuttler, 15, 1, 1
265, icy, minecraft:snowy_plains, MONSTER, dungeons_mobs:iceologer, 10, 1, 1
266, icy, minecraft:snowy_plains, MONSTER, born_in_chaos_v1:baby_skeleton_2, 15, 1, 2
267, icy, minecraft:snowy_plains, MONSTER, enlightened_end:void_leviathan, 10, 1, 1
268, icy, minecraft:snowy_plains, MONSTER, born_in_chaos_v1:dire_hound_leader, 10, 1, 1
269, icy, minecraft:snowy_plains, MONSTER, born_in_chaos_v1:shy_spirit, 11, 1, 1
270, icy, minecraft:snowy_plains, MONSTER, born_in_chaos_v1:fallen_chaos_knight, 10, 1, 1
271, icy, minecraft:snowy_plains, MONSTER, born_in_chaos_v1:zombie_clown, 10, 1, 1
272, icy, minecraft:snowy_plains, MONSTER, alexsmobs:centipede_head, 10, 1, 1
273, icy, minecraft:snowy_plains, MONSTER, alexsmobs:farseer, 30, 1, 1
274, icy, minecraft:snowy_plains, MONSTER, alexsmobs:murmur, 10, 1, 1
275, icy, minecraft:snowy_plains, MONSTER, dungeons_mobs:necromancer, 10, 1, 1
276, icy, minecraft:snowy_plains, MONSTER, creeperoverhaul:snowy_creeper, 75, 2, 2
277, icy, minecraft:snowy_plains, MONSTER, epicsamurai:enenra, 10, 1, 2
278, icy, minecraft:snowy_plains, MONSTER, born_in_chaos_v1:phantom_creeper, 10, 1, 1
279, icy, minecraft:snowy_plains, MONSTER, iter_rpg:bloated, 10, 1, 1
280, icy, minecraft:snowy_plains, MONSTER, iter_rpg:void_elemental, 10, 1, 1
281, icy, minecraft:snowy_plains, MONSTER, born_in_chaos_v1:decaying_zombie, 26, 1, 1
282, icy, minecraft:snowy_plains, MONSTER, iter_rpg:water_elemental, 16, 1, 2
283, icy, minecraft:snowy_plains, MONSTER, born_in_chaos_v1:decrepit_skeleton, 40, 1, 1
284, icy, minecraft:snowy_plains, MONSTER, born_in_chaos_v1:sir_pumpkinhead, 10, 1, 1
285, icy, minecraft:snowy_plains, MONSTER, born_in_chaos_v1:skeleton_demoman, 10, 1, 1
286, icy, minecraft:snowy_plains, MONSTER, born_in_chaos_v1:baby_skeleton, 15, 1, 2
287, icy, minecraft:snowy_plains, MONSTER, graveyard:skeleton_creeper, 25, 1, 4
288, icy, minecraft:snowy_plains, MONSTER, born_in_chaos_v1:mr_pumpkin, 13, 1, 3
289, icy, minecraft:snowy_plains, MONSTER, predators:huntsman, 10, 1, 1
290, icy, minecraft:snowy_plains, MONSTER, endermanoverhaul:snowy_enderman, 20, 1, 1
291, icy, minecraft:snowy_plains, CREATURE, minecraft:rabbit, 10, 2, 3
292, icy, minecraft:snowy_plains, CREATURE, minecraft:polar_bear, 10, 1, 2
293, icy, minecraft:snowy_plains, CREATURE, naturalist:snail, 10, 2, 3
294, icy, minecraft:snowy_plains, CREATURE, naturalist:snake, 10, 1, 1
295, icy, minecraft:snowy_plains, CREATURE, naturalist:bluejay, 10, 1, 4
296, icy, minecraft:snowy_plains, CREATURE, naturalist:robin, 10, 1, 4
297, icy, minecraft:snowy_plains, CREATURE, naturalist:butterfly, 10, 1, 3
298, icy, minecraft:snowy_plains, CREATURE, crittersandcompanions:shima_enaga, 10, 2, 3
299, icy, minecraft:snowy_plains, CREATURE, cnb:yeti, 10, 2, 3
300, icy, minecraft:snowy_plains, CREATURE, alexsmobs:moose, 10, 3, 4
301, icy, minecraft:snowy_plains, CREATURE, alexsmobs:raccoon, 10, 2, 4
302, icy, minecraft:snowy_plains, CREATURE, alexsmobs:snow_leopard, 18, 1, 2
303, icy, minecraft:snowy_plains, CREATURE, alexsmobs:crow, 10, 3, 5
304, icy, minecraft:snowy_plains, CREATURE, alexsmobs:tusklin, 18, 3, 5
305, icy, minecraft:snowy_plains, CREATURE, alexsmobs:bison, 10, 6, 10
306, icy, minecraft:snowy_plains, CREATURE, ecologics:penguin, 10, 4, 5
307, icy, minecraft:snowy_plains, AMBIENT, minecraft:bat, 10, 8, 8
308, icy, minecraft:snowy_plains, AMBIENT, naturalist:firefly, 10, 2, 3
309, icy, minecraft:snowy_plains, AMBIENT, alexsmobs:fly, 10, 2, 3
310, icy, minecraft:snowy_plains, AMBIENT, alexsmobs:cockroach, 10, 5, 5
311, icy, minecraft:snowy_plains, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
312, icy, minecraft:snowy_plains, WATER_AMBIENT, aquaculture:carp, 10, 1, 3
